course_id,course_name,semester_range,n_semesters,avg_final_grade,total_students,avg_pass_pct,avg_general_rank,n_general_rank,hist_url,cf_url
00970215,עיבוד שפה טבעית,201501 to 202402,9,88.656,747,99.076,2.560,25,https://michael-maltsev.github.io/technion-histograms/00970215/,https://cheesefork.cf/?course=00970215&semester=202502
00970247,אינטרנט של הדברים: טכנולוגיות,201902 to 202401,5,91.451,381,98.139,3.556,18,https://michael-maltsev.github.io/technion-histograms/00970247/,https://cheesefork.cf/?course=00970247&semester=202501
00970317,תורת המשחקים השיתופיים,201602 to 202401,8,80.994,310,95.063,3.600,10,https://michael-maltsev.github.io/technion-histograms/00970317/,https://cheesefork.cf/?course=00970317&semester=202501
00970414,סטטיסטיקה 2,201802 to 202501,9,78.544,813,89.180,2.862,29,https://michael-maltsev.github.io/technion-histograms/00970414/,https://cheesefork.cf/?course=00970414&semester=202502
00970447,מבוא לחישוביות וסיבוכיות,201902 to 202402,6,76.497,1098,90.709,2.600,20,https://michael-maltsev.github.io/technion-histograms/00970447/,https://cheesefork.cf/?course=00970447&semester=202502
00970800,עקרונות השיווק,201501 to 202402,10,84.883,1036,99.144,2.643,14,https://michael-maltsev.github.io/technion-histograms/00970800/,https://cheesefork.cf/?course=00970800&semester=202502
01040002,מושגי יסוד במתמטיקה,201901 to 202402,11,75.334,619,81.000,3.400,25,https://michael-maltsev.github.io/technion-histograms/01040002/,https://cheesefork.cf/?course=01040002&semester=202502
01040003,חשבון דיפרנציאלי ואינטגרלי 1,200901 to 202501,23,71.435,5693,84.313,3.219,32,https://michael-maltsev.github.io/technion-histograms/01040003/,https://cheesefork.cf/?course=01040003&semester=202501
01040004,חשבון דיפרנציאלי ואינטגרלי 2,200301 to 202302,24,72.107,5180,84.260,3.083,36,https://michael-maltsev.github.io/technion-histograms/01040004/,https://cheesefork.cf/?course=01040004&semester=202502
01040012,חשבון דיפרנציאלי ואינטגרלי 1ת',200602 to 202501,22,62.563,9217,70.214,3.462,78,https://michael-maltsev.github.io/technion-histograms/01040012/,https://cheesefork.cf/?course=01040012&semester=202502
01040013,חשבון דיפרנציאלי ואינטגרלי 2ת',201101 to 202402,32,71.686,10325,83.150,3.780,123,https://michael-maltsev.github.io/technion-histograms/01040013/,https://cheesefork.cf/?course=01040013&semester=202502
01040016,אלגברה 1/מורחב,200601 to 202402,33,71.612,16568,85.119,3.837,147,https://michael-maltsev.github.io/technion-histograms/01040016/,https://cheesefork.cf/?course=01040016&semester=202502
01040018,חשבון דיפרנציאלי ואינטגרלי 1מ',200901 to 202402,26,66.925,6739,80.320,2.911,79,https://michael-maltsev.github.io/technion-histograms/01040018/,https://cheesefork.cf/?course=01040018&semester=202502
01040019,אלגברה ליניארית מ',201401 to 202501,23,73.400,7687,87.892,4.047,128,https://michael-maltsev.github.io/technion-histograms/01040019/,https://cheesefork.cf/?course=01040019&semester=202502
