course_id,course_name,semester_range,n_semesters,avg_final_grade,total_students,avg_pass_pct,avg_general_rank,n_general_rank,hist_url,cf_url
00140890,מבוא לספקטרוסקופיה וחישה מרחוק,201901 to 202101,3,87.268,56,100.000,,0,https://michael-maltsev.github.io/technion-histograms/00140890/,https://cheesefork.cf/?course=00140890&semester=202501
00140935,שיטות מדידה,202002 to 202202,3,86.949,39,100.000,2.000,1,https://michael-maltsev.github.io/technion-histograms/00140935/,https://cheesefork.cf/?course=00140935&semester=202502
00140940,תופעות מעבר במערכות טבעיות,201701 to 202301,5,82.453,94,100.000,2.667,3,https://michael-maltsev.github.io/technion-histograms/00140940/,https://cheesefork.cf/?course=00140940&semester=202501
00140941,הנדסת ניקוז עילי ותת קרקעי,201902 to 201902,1,84.077,13,100.000,4.000,1,https://michael-maltsev.github.io/technion-histograms/00140941/,https://cheesefork.cf/?course=00140941&semester=202501
00140942,הנדסה הידרולית ומאגרים,201902 to 202102,2,93.920,25,100.000,5.000,1,https://michael-maltsev.github.io/technion-histograms/00140942/,https://cheesefork.cf/?course=00140942&semester=202502
00140943,מעבדה לבקרה,,0,,,,,0,https://michael-maltsev.github.io/technion-histograms/00140943/,https://cheesefork.cf/?course=00140943&semester=202501
00140945,פרויקט בבקרה,,0,,,,,0,https://michael-maltsev.github.io/technion-histograms/00140945/,https://cheesefork.cf/?course=00140945&semester=202501
00140952,סקר קרקעות,202101 to 202101,1,87.417,12,100.000,4.000,4,https://michael-maltsev.github.io/technion-histograms/00140952/,https://cheesefork.cf/?course=00140952&semester=202501
00140956,מבוא לכימיה של הקרקע,201502 to 202402,10,80.397,234,97.085,4.250,4,https://michael-maltsev.github.io/technion-histograms/00140956/,https://cheesefork.cf/?course=00140956&semester=202502
00140958,הנדסת השקיה 1,,0,,,,,0,https://michael-maltsev.github.io/technion-histograms/00140958/,https://cheesefork.cf/?course=00140958&semester=202402
00140966,פרויקט בהנדסה סביבתית 2,,0,,,,,0,https://michael-maltsev.github.io/technion-histograms/00140966/,https://cheesefork.cf/?course=00140966&semester=202502
00140972,משאבות ומערכות שאיבה,201802 to 202202,5,90.979,98,100.000,5.000,1,https://michael-maltsev.github.io/technion-histograms/00140972/,https://cheesefork.cf/?course=00140972&semester=202502
00140977,מבוא לתהליכי זרימה וזיהום בקרקע,201601 to 202301,7,82.508,183,97.776,3.500,2,https://michael-maltsev.github.io/technion-histograms/00140977/,https://cheesefork.cf/?course=00140977&semester=202501
00140978,יסודות האקולוגיה,202301 to 202301,1,87.062,16,100.000,4.000,1,https://michael-maltsev.github.io/technion-histograms/00140978/,https://cheesefork.cf/?course=00140978&semester=202501
00140979,מבוא לפיסיקה של אטמוספירה,,0,,,,,0,https://michael-maltsev.github.io/technion-histograms/00140979/,https://cheesefork.cf/?course=00140979&semester=202502
00150001,סביבה וצמחים,201702 to 202202,5,92.759,79,100.000,5.000,1,https://michael-maltsev.github.io/technion-histograms/00150001/,https://cheesefork.cf/?course=00150001&semester=202502
00150007,מכניקה יישומית 1,201402 to 202402,10,76.204,440,90.350,3.500,6,https://michael-maltsev.github.io/technion-histograms/00150007/,https://cheesefork.cf/?course=00150007&semester=202502
00150017,ציוד מערכות ושיטות בעבודות עפר,201901 to 202202,5,89.375,184,100.000,3.500,2,https://michael-maltsev.github.io/technion-histograms/00150017/,https://cheesefork.cf/?course=00150017&semester=202502
00150019,מבוא לבקרה,201902 to 202402,5,65.142,177,82.910,1.667,6,https://michael-maltsev.github.io/technion-histograms/00150019/,https://cheesefork.cf/?course=00150019&semester=202502
00160002,אתיקה בהנדסה,,0,,,,,0,https://michael-maltsev.github.io/technion-histograms/00160002/,https://cheesefork.cf/?course=00160002&semester=202501
00160101,נ.נ. בה. מבנים: מבנים לתרחישי אש,202401 to 202401,1,80.273,22,90.900,5.000,1,https://michael-maltsev.github.io/technion-histograms/00160101/,https://cheesefork.cf/?course=00160101&semester=202501
00160111,בטון דרוך,201801 to 202301,5,76.719,310,90.961,2.667,3,https://michael-maltsev.github.io/technion-histograms/00160111/,https://cheesefork.cf/?course=00160111&semester=202501
00160122,תכן מבנים תחת עומסי הדף ואימפקט,202301 to 202401,2,91.250,24,100.000,4.667,3,https://michael-maltsev.github.io/technion-histograms/00160122/,https://cheesefork.cf/?course=00160122&semester=202501
00160142,הנדסת רעידות אדמה,201701 to 202401,6,70.525,298,82.644,3.750,4,https://michael-maltsev.github.io/technion-histograms/00160142/,https://cheesefork.cf/?course=00160142&semester=202501
00160143,מבני בטון 3,202001 to 202001,1,82.083,12,100.000,,0,https://michael-maltsev.github.io/technion-histograms/00160143/,https://cheesefork.cf/?course=00160143&semester=202401
00160144,מבוא לאלמנטים סופיים,201602 to 202402,5,78.350,239,90.152,,0,https://michael-maltsev.github.io/technion-histograms/00160144/,https://cheesefork.cf/?course=00160144&semester=202502
00160203,הנדסת מערכות משאבי מים 1,,0,,,,5.000,1,https://michael-maltsev.github.io/technion-histograms/00160203/,https://cheesefork.cf/?course=00160203&semester=202501
00160206,מכניקת זורמים סביבתית,201601 to 202202,3,82.230,61,95.180,4.000,1,https://michael-maltsev.github.io/technion-histograms/00160206/,https://cheesefork.cf/?course=00160206&semester=202502
